name,id,left_id,right_id,Comments (WR)
"Commons+is Tin supplier of+PT Timah (Perero), Tbk+2015+values",4405208,4405207,43591,Pretty sure this company was merged into another. Can't see the history or look into any of the details cause it's giving me rats (see ticket https://wikirate.org/Attempted_history_check_giving_rat)
"Commons+is Tin supplier of+PT Timah (Perero), Tbk+2015+overridden value",4405209,4405207,3652510,
Vasiliki Gkatziaki+is Gold supplier of+Rio Tinto Group+2016+values,6023403,6023402,43591,"Though this is not clear in the history, I am wondering if the name of the company was changed from Rio Tinto Group to Rio Tinto. This value (linked) which doesn't show any real data seems to indicate the Rio Tinto and Rio Tinto Group issues are related https://wikirate.org/Vasiliki%20Gkatziaki+is%20Gold%20supplier%20of+Rio%20Tinto+2016"
Vasiliki Gkatziaki+is Gold supplier of+Rio Tinto Group+2016+overridden value,6023404,6023402,3652510,
Commons+Supplier of+GROUPE-BEL - FROMAGERIES BEL CLERY+2018+values,6044395,6044394,43591,
Commons+Supplier of+GROUPE-BEL - FROMAGERIES BEL CLERY+2018+overridden value,6044396,6044394,3652510,
Commons+is Tin supplier of+Operaciones Metalurgica S.A.+2019+values,6143635,6143634,43591,"This company was merged into this company: https://wikirate.org/Operaciones_Metalurgical_S_A but there's an error rendering the company's answer table, so it's difficult to tell whether there's a similar issue in the corresponding data point. Also getting a rat here when trying to see the history."
Commons+is Tin supplier of+Operaciones Metalurgica S.A.+2019+overridden value,6143636,6143634,3652510,
"Commons+is Tin supplier of+KOVOHUTĚ PŘÍBRAM NÁSTUPNICKÁ, A.S.+2016+values",6143644,6143643,43591,
"Commons+is Tin supplier of+KOVOHUTĚ PŘÍBRAM NÁSTUPNICKÁ, A.S.+2016+overridden value",6143645,6143643,3652510,
Commons+uses Tungsten smelted by+Ball Corporation+2018+A.L.M.T. TUNGSTEN Corp.+values,6144839,6144838,43591,
Commons+uses Tungsten smelted by+Ball Corporation+2018+A.L.M.T. TUNGSTEN Corp.+source,6144840,6144838,629,A.L.M.T. TUNGSTEN Corp. was merged into Allied Material (A.L.M.T) Corp - can't see the history for merges so it's difficult to identify the problem areas
Commons+uses Tungsten smelted by+Ball Corporation+2018+ACL Metais Eireli+values,6144842,6144841,43591,
Commons+uses Tungsten smelted by+Ball Corporation+2018+ACL Metais Eireli+source,6144843,6144841,629,
Commons+uses Tungsten smelted by+Ball Corporation+2018+Asia Tungsten Products Vietnam Ltd.+values,6144845,6144844,43591,"It seems like something has happened to all of the Ball Corporation's 2018 answer to Commons+Tungsten smelted by. There are none, but there are releationships for all other years from 2015 to 2019. There was also a merge in this case where Ball was merged into Ball Corporation. This could have played into the issue"
Commons+uses Tungsten smelted by+Ball Corporation+2018+Asia Tungsten Products Vietnam Ltd.+source,6144846,6144844,629,
"Commons+uses Tungsten smelted by+Ball Corporation+2018+Chenzhou Diamond Tungsten Products Co., Ltd.+values",6144848,6144847,43591,
"Commons+uses Tungsten smelted by+Ball Corporation+2018+Chenzhou Diamond Tungsten Products Co., Ltd.+source",6144849,6144847,629,
"Commons+uses Tungsten smelted by+Ball Corporation+2018+Chongyi Zhangyuan Tungsten Co., Ltd.+values",6144851,6144850,43591,
"Commons+uses Tungsten smelted by+Ball Corporation+2018+Chongyi Zhangyuan Tungsten Co., Ltd.+source",6144852,6144850,629,
"Commons+uses Tungsten smelted by+Ball Corporation+2018+Fujian Jinxin Tungsten Co., Ltd.+values",6144854,6144853,43591,
"Commons+uses Tungsten smelted by+Ball Corporation+2018+Fujian Jinxin Tungsten Co., Ltd.+source",6144855,6144853,629,
"Commons+uses Tungsten smelted by+Ball Corporation+2018+Ganzhou Haichuang Tungsten Industry Co., Ltd.+values",6144857,6144856,43591,
"Commons+uses Tungsten smelted by+Ball Corporation+2018+Ganzhou Haichuang Tungsten Industry Co., Ltd.+source",6144858,6144856,629,
"Commons+uses Tungsten smelted by+Ball Corporation+2018+Ganzhou Huaxing Tungsten Products Co., Ltd.+values",6144860,6144859,43591,
"Commons+uses Tungsten smelted by+Ball Corporation+2018+Ganzhou Huaxing Tungsten Products Co., Ltd.+source",6144861,6144859,629,
"Commons+uses Tungsten smelted by+Ball Corporation+2018+Ganzhou Jiangwu Ferrotungsten Co., Ltd.+values",6144863,6144862,43591,
"Commons+uses Tungsten smelted by+Ball Corporation+2018+Ganzhou Jiangwu Ferrotungsten Co., Ltd.+source",6144864,6144862,629,
"Commons+uses Tungsten smelted by+Ball Corporation+2018+Ganzhou Seadragon W & Mo Co., Ltd.+values",6144866,6144865,43591,
"Commons+uses Tungsten smelted by+Ball Corporation+2018+Ganzhou Seadragon W & Mo Co., Ltd.+source",6144867,6144865,629,
"Commons+uses Tungsten smelted by+Ball Corporation+2018+Ganzhou Yatai Tungsten Co., Ltd.+values",6144869,6144868,43591,
"Commons+uses Tungsten smelted by+Ball Corporation+2018+Ganzhou Yatai Tungsten Co., Ltd.+source",6144870,6144868,629,
Commons+uses Tungsten smelted by+Ball Corporation+2018+Global Tungsten & Powders Corp.+values,6144872,6144871,43591,
Commons+uses Tungsten smelted by+Ball Corporation+2018+Global Tungsten & Powders Corp.+source,6144873,6144871,629,
"Commons+uses Tungsten smelted by+Ball Corporation+2018+Guangdong Xianglu Tungsten Co., Ltd.+values",6144875,6144874,43591,
"Commons+uses Tungsten smelted by+Ball Corporation+2018+Guangdong Xianglu Tungsten Co., Ltd.+source",6144876,6144874,629,
Commons+uses Tungsten smelted by+Ball Corporation+2018+H.C. Starck Smelting GmbH & Co. KG+values,6144878,6144877,43591,
Commons+uses Tungsten smelted by+Ball Corporation+2018+H.C. Starck Smelting GmbH & Co. KG+source,6144879,6144877,629,
Commons+uses Tungsten smelted by+Ball Corporation+2018+H.C. Starck Tungsten GmbH+values,6144881,6144880,43591,
Commons+uses Tungsten smelted by+Ball Corporation+2018+H.C. Starck Tungsten GmbH+source,6144882,6144880,629,
Commons+uses Tungsten smelted by+Ball Corporation+2018+Hunan Chenzhou Mining Co Ltd+values,6144884,6144883,43591,
Commons+uses Tungsten smelted by+Ball Corporation+2018+Hunan Chenzhou Mining Co Ltd+source,6144885,6144883,629,
"Commons+uses Tungsten smelted by+Ball Corporation+2018+Hunan Chuangda Vanadium Tungsten Co., Ltd. Wuji+values",6144890,6144889,43591,
"Commons+uses Tungsten smelted by+Ball Corporation+2018+Hunan Chuangda Vanadium Tungsten Co., Ltd. Wuji+source",6144891,6144889,629,
"Commons+uses Tungsten smelted by+Ball Corporation+2018+Hunan Chunchang Nonferrous Metals Co., Ltd.+values",6144893,6144892,43591,
"Commons+uses Tungsten smelted by+Ball Corporation+2018+Hunan Chunchang Nonferrous Metals Co., Ltd.+source",6144894,6144892,629,
"Commons+uses Tungsten smelted by+Ball Corporation+2018+Hunan Litian Tungsten Industry Co., Ltd.+values",6144896,6144895,43591,
"Commons+uses Tungsten smelted by+Ball Corporation+2018+Hunan Litian Tungsten Industry Co., Ltd.+source",6144897,6144895,629,
